,categories,test_takers,total_mean,erw_mean,math_mean,met_both,met_neither,erw_met,math_met,year,state,participation,diff_to_ave
0,total,1715481.0,1060.0,533.0,527.0,0.46,0.27,0.7,0.49,2017,all,,0.0
1,native,7782.0,963.0,486.0,477.0,0.27,0.45,0.53,0.29,2017,all,,-97.0
2,asian,158031.0,1181.0,569.0,612.0,0.7,0.12,0.81,0.76,2017,all,,121.0
3,black,225860.0,941.0,479.0,462.0,0.2,0.5,0.49,0.22,2017,all,,-119.0
4,latino,408067.0,990.0,500.0,489.0,0.31,0.39,0.58,0.33,2017,all,,-70.0
5,pacific,4131.0,986.0,498.0,488.0,0.32,0.4,0.57,0.34,2017,all,,-74.0
6,white,760362.0,1118.0,565.0,553.0,0.59,0.15,0.83,0.61,2017,all,,58.0
7,multi,57049.0,1103.0,560.0,544.0,0.54,0.18,0.8,0.56,2017,all,,43.0
8,no_race,94199.0,961.0,475.0,485.0,0.27,0.47,0.48,0.33,2017,all,,-99.0
9,female,906019.0,1050.0,534.0,516.0,0.43,0.27,0.71,0.44,2017,all,,-10.0
10,male,809462.0,1070.0,532.0,538.0,0.5,0.27,0.69,0.53,2017,all,,10.0
11,total,2393.0,1165.0,593.0,572.0,0.62,0.12,0.86,0.64,2017,alabama,0.05,0.0
12,native,15.0,1049.0,538.0,511.0,0.47,0.27,0.73,0.47,2017,alabama,0.05,-116.0
13,asian,199.0,1272.0,608.0,664.0,0.78,0.06,0.84,0.87,2017,alabama,0.05,107.0
14,black,501.0,992.0,513.0,479.0,0.26,0.35,0.64,0.28,2017,alabama,0.05,-173.0
15,latino,112.0,1135.0,576.0,559.0,0.6,0.14,0.86,0.6,2017,alabama,0.05,-30.0
16,pacific,0.0,,,,,,,,2017,alabama,0.05,
17,white,1436.0,1217.0,622.0,595.0,0.73,0.05,0.94,0.74,2017,alabama,0.05,52.0
18,multi,78.0,1164.0,597.0,567.0,0.63,0.09,0.87,0.67,2017,alabama,0.05,-1.0
19,no_race,52.0,1086.0,555.0,532.0,0.5,0.17,0.81,0.52,2017,alabama,0.05,-79.0
20,female,1363.0,1143.0,589.0,554.0,0.57,0.13,0.86,0.58,2017,alabama,0.05,-22.0
21,male,1030.0,1194.0,599.0,596.0,0.69,0.12,0.86,0.72,2017,alabama,0.05,29.0
22,total,2971.0,1080.0,547.0,533.0,0.5,0.21,0.76,0.53,2017,alaska,0.38,0.0
23,native,218.0,959.0,482.0,477.0,0.23,0.48,0.49,0.27,2017,alaska,0.38,-121.0
24,asian,252.0,1048.0,521.0,526.0,0.44,0.26,0.67,0.52,2017,alaska,0.38,-32.0
25,black,75.0,963.0,489.0,474.0,0.28,0.45,0.52,0.31,2017,alaska,0.38,-117.0
26,latino,231.0,1059.0,538.0,521.0,0.47,0.24,0.74,0.49,2017,alaska,0.38,-21.0
27,pacific,32.0,900.0,459.0,441.0,0.16,0.56,0.44,0.16,2017,alaska,0.38,-180.0
28,white,1705.0,1118.0,568.0,550.0,0.58,0.14,0.85,0.6,2017,alaska,0.38,38.0
29,multi,317.0,1069.0,539.0,529.0,0.49,0.23,0.73,0.52,2017,alaska,0.38,-11.0
30,no_race,141.0,1024.0,523.0,501.0,0.33,0.3,0.69,0.34,2017,alaska,0.38,-56.0
31,female,1621.0,1068.0,546.0,522.0,0.46,0.22,0.76,0.48,2017,alaska,0.38,-12.0
32,male,1350.0,1094.0,549.0,546.0,0.55,0.2,0.77,0.58,2017,alaska,0.38,14.0
33,total,20466.0,1116.0,563.0,553.0,0.59,0.16,0.82,0.61,2017,arizona,0.3,0.0
34,native,236.0,989.0,496.0,493.0,0.32,0.38,0.59,0.36,2017,arizona,0.3,-127.0
35,asian,1352.0,1205.0,591.0,615.0,0.75,0.07,0.88,0.8,2017,arizona,0.3,89.0
36,black,940.0,1023.0,519.0,504.0,0.37,0.31,0.67,0.39,2017,arizona,0.3,-93.0
37,latino,6481.0,1045.0,528.0,517.0,0.43,0.27,0.71,0.46,2017,arizona,0.3,-71.0
38,pacific,44.0,1056.0,529.0,527.0,0.43,0.25,0.75,0.43,2017,arizona,0.3,-60.0
39,white,10007.0,1164.0,588.0,576.0,0.7,0.08,0.91,0.71,2017,arizona,0.3,48.0
40,multi,731.0,1161.0,586.0,575.0,0.68,0.09,0.9,0.69,2017,arizona,0.3,45.0
41,no_race,675.0,1045.0,531.0,513.0,0.42,0.25,0.72,0.45,2017,arizona,0.3,-71.0
42,female,11367.0,1100.0,561.0,539.0,0.54,0.16,0.82,0.55,2017,arizona,0.3,-16.0
43,male,9099.0,1136.0,565.0,571.0,0.65,0.16,0.82,0.68,2017,arizona,0.3,20.0
44,total,1065.0,1208.0,614.0,594.0,0.71,0.11,0.88,0.72,2017,arkansas,0.03,0.0
45,native,1.0,,,,,,,,2017,arkansas,0.03,
46,asian,90.0,1264.0,603.0,661.0,0.78,0.07,0.84,0.87,2017,arkansas,0.03,56.0
47,black,91.0,1051.0,538.0,513.0,0.38,0.32,0.68,0.38,2017,arkansas,0.03,-157.0
48,latino,100.0,1066.0,542.0,524.0,0.43,0.26,0.71,0.46,2017,arkansas,0.03,-142.0
49,pacific,0.0,,,,,,,,2017,arkansas,0.03,
50,white,716.0,1242.0,635.0,607.0,0.78,0.06,0.93,0.79,2017,arkansas,0.03,34.0
51,multi,50.0,1237.0,627.0,610.0,0.76,0.1,0.9,0.76,2017,arkansas,0.03,29.0
52,no_race,17.0,1064.0,549.0,515.0,0.47,0.41,0.59,0.47,2017,arkansas,0.03,-144.0
53,female,605.0,1176.0,605.0,572.0,0.64,0.12,0.86,0.66,2017,arkansas,0.03,-32.0
54,male,460.0,1249.0,625.0,624.0,0.79,0.09,0.89,0.81,2017,arkansas,0.03,41.0
55,total,226699.0,1055.0,531.0,524.0,0.45,0.27,0.7,0.47,2017,california,0.53,0.0
56,native,802.0,997.0,504.0,494.0,0.33,0.35,0.63,0.35,2017,california,0.53,-58.0
57,asian,33123.0,1145.0,561.0,584.0,0.65,0.14,0.81,0.7,2017,california,0.53,90.0
58,black,12509.0,961.0,492.0,470.0,0.23,0.43,0.55,0.25,2017,california,0.53,-94.0
59,latino,111675.0,992.0,502.0,490.0,0.31,0.38,0.6,0.33,2017,california,0.53,-63.0
60,pacific,979.0,1022.0,513.0,508.0,0.38,0.3,0.67,0.41,2017,california,0.53,-33.0
61,white,52080.0,1153.0,583.0,570.0,0.67,0.1,0.89,0.68,2017,california,0.53,98.0
62,multi,8924.0,1139.0,575.0,564.0,0.63,0.12,0.86,0.64,2017,california,0.53,84.0
63,no_race,6607.0,988.0,501.0,488.0,0.31,0.4,0.58,0.34,2017,california,0.53,-67.0
64,female,125088.0,1041.0,529.0,512.0,0.4,0.28,0.7,0.42,2017,california,0.53,-14.0
65,male,101611.0,1073.0,534.0,540.0,0.51,0.26,0.71,0.54,2017,california,0.53,18.0
66,total,5896.0,1201.0,606.0,595.0,0.73,0.1,0.89,0.75,2017,colorado,0.11,0.0
67,native,31.0,1111.0,562.0,549.0,0.52,0.19,0.77,0.55,2017,colorado,0.11,-90.0
68,asian,452.0,1262.0,616.0,646.0,0.81,0.05,0.9,0.86,2017,colorado,0.11,61.0
69,black,168.0,1057.0,542.0,515.0,0.42,0.26,0.73,0.43,2017,colorado,0.11,-144.0
70,latino,886.0,1115.0,564.0,551.0,0.57,0.21,0.78,0.58,2017,colorado,0.11,-86.0
71,pacific,12.0,1098.0,561.0,537.0,0.58,0.17,0.83,0.58,2017,colorado,0.11,-103.0
72,white,3763.0,1239.0,626.0,613.0,0.81,0.04,0.95,0.82,2017,colorado,0.11,38.0
73,multi,267.0,1232.0,622.0,609.0,0.77,0.06,0.94,0.78,2017,colorado,0.11,31.0
74,no_race,317.0,964.0,494.0,470.0,0.29,0.45,0.53,0.31,2017,colorado,0.11,-237.0
