Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"3,240",1143,583,560,58%,83% 59%,15%
Took Essay1,"1,002 31%",1221,619,602,70%,89% 71%,9%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,8 0%,,,,,,
Asian,282 9%,1302,628,674,83%,90% 88%,4%
Black/African American,758 23%,982,507,476,24%,59% 25%,40%
Hispanic/Latino,158 5%,1117,573,544,57%,84% 58%,15%
Native Hawaian/Other Pacific Islander,2 0%,,,,,,
White,"1,838 57%",1191,610,581,69%,93% 70%,6%
Two or More Races,136 4%,1145,589,556,56%,87% 56%,13%
No Response,58 2%,1028,530,498,34%,64% 41%,29%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"1,872 58%",1128,581,547,54%,84% 55%,15%
Male,"1,367 42%",1165,587,578,64%,83% 66%,16%
No Response,1 0%,,,,,,
