Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"3,212",1097,556,541,53%,79% 55%,19%
Took Essay1,"1,465 46%",1150,582,568,65%,88% 66%,11%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,163 5%,951,475,477,26%,48% 28%,49%
Asian,314 10%,1065,526,538,48%,67% 54%,27%
Black/African American,90 3%,955,486,469,21%,56% 22%,43%
Hispanic/Latino,293 9%,1052,534,518,40%,77% 41%,22%
Native Hawaian/Other Pacific Islander,40 1%,974,483,491,30%,53% 30%,48%
White,"1,763 55%",1139,581,559,61%,87% 63%,11%
Two or More Races,434 14%,1095,551,544,54%,75% 56%,23%
No Response,115 4%,1021,527,494,35%,66% 35%,34%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"1,780 55%",1082,554,528,47%,78% 49%,20%
Male,"1,431 45%",1115,558,557,60%,79% 62%,18%
No Response,1 0%,,,,,,
