Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"21,472",1134,569,565,62%,83% 64%,15%
Took Essay1,"8,720 41%",1209,605,603,75%,91% 77%,8%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,188 1%,999,498,501,36%,60% 40%,36%
Asian,"1,646 8%",1262,613,649,83%,92% 87%,5%
Black/African American,854 4%,1027,519,507,38%,64% 41%,33%
Hispanic/Latino,"6,708 31%",1062,535,527,47%,73% 49%,25%
Native Hawaian/Other Pacific Islander,55 0%,1107,555,552,55%,80% 56%,18%
White,"10,353 48%",1176,591,585,72%,91% 74%,8%
Two or More Races,"1,048 5%",1160,584,576,66%,88% 68%,11%
No Response,620 3%,1011,507,503,36%,58% 39%,39%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"11,848 55%",1118,567,552,58%,83% 59%,16%
Male,"9,613 45%",1153,571,582,67%,83% 70%,15%
No Response,11 0%,845,438,407,9%,18% 9%,82%
