Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"1,790",1141,582,559,59%,81% 61%,17%
Took Essay1,795 44%,1165,593,571,63%,83% 64%,16%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,12 1%,1012,522,490,33%,58% 33%,42%
Asian,131 7%,1254,617,638,78%,89% 82%,8%
Black/African American,159 9%,1023,528,495,35%,70% 40%,25%
Hispanic/Latino,228 13%,1047,534,513,41%,69% 42%,30%
Native Hawaian/Other Pacific Islander,2 0%,,,,,,
White,"1,063 59%",1185,606,579,68%,88% 69%,10%
Two or More Races,85 5%,1144,578,566,65%,81% 65%,19%
No Response,110 6%,959,493,466,23%,49% 25%,49%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"1,014 57%",1119,576,543,53%,82% 55%,17%
Male,776 43%,1170,589,581,66%,81% 69%,17%
