Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"272,892",1065,534,531,46%,68% 49%,30%
Took Essay1,"240,278 88%",1076,539,536,48%,69% 50%,29%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,899 0%,950,481,469,25%,49% 27%,48%
Asian,"46,827 17%",1214,591,623,74%,85% 78%,12%
Black/African American,"13,186 5%",948,485,463,23%,51% 25%,48%
Hispanic/Latino,"132,151 48%",976,494,482,28%,55% 31%,43%
Native Hawaian/Other Pacific Islander,"1,211 0%",1003,502,501,36%,58% 38%,39%
White,"59,167 22%",1168,588,580,68%,88% 70%,11%
Two or More Races,"12,319 5%",1160,583,577,65%,85% 66%,13%
No Response,"7,132 3%",964,486,478,29%,47% 31%,52%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"147,651 54%",1053,533,519,43%,68% 44%,30%
Male,"125,112 46%",1081,535,545,51%,68% 54%,29%
No Response,129 0%,791,402,390,3%,15% 3%,85%
