Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"44,029",1046,529,516,43%,66% 45%,32%
Took Essay1,"13,683 31%",1184,596,588,69%,87% 70%,12%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,120 0%,965,487,478,31%,52% 32%,48%
Asian,"2,562 6%",1217,590,627,72%,83% 76%,13%
Black/African American,"4,905 11%",896,459,436,14%,39% 15%,60%
Hispanic/Latino,"9,540 22%",924,471,453,21%,44% 22%,55%
Native Hawaian/Other Pacific Islander,30 0%,929,471,458,23%,43% 23%,57%
White,"24,579 56%",1105,559,546,55%,79% 56%,20%
Two or More Races,"1,504 3%",1072,548,524,45%,73% 46%,26%
No Response,789 2%,1005,507,498,40%,56% 42%,43%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"21,429 49%",1050,538,512,43%,70% 43%,29%
Male,"22,569 51%",1042,521,520,44%,63% 46%,35%
No Response,31 0%,818,422,396,6%,23% 6%,77%
