Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"10,990",985,499,486,31%,55% 33%,43%
Took Essay1,"10,028 91%",989,501,488,31%,55% 33%,43%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,83 1%,847,428,419,10%,28% 10%,72%
Asian,475 4%,1197,586,611,69%,81% 71%,17%
Black/African American,"2,434 22%",889,453,436,12%,36% 13%,63%
Hispanic/Latino,"1,678 15%",904,459,446,17%,39% 19%,60%
Native Hawaian/Other Pacific Islander,15 0%,819,415,404,7%,13% 7%,87%
White,"4,926 45%",1065,541,524,46%,73% 47%,26%
Two or More Races,676 6%,980,498,482,29%,56% 31%,42%
No Response,703 6%,835,423,412,10%,24% 11%,75%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"5,481 50%",993,508,485,30%,59% 31%,40%
Male,"5,502 50%",978,491,487,32%,52% 34%,46%
No Response,7 0%,,,,,,
