Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"76,340",1058,538,519,42%,72% 44%,27%
Took Essay1,"31,832 42%",1121,569,552,54%,81% 56%,18%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,207 0%,991,506,485,29%,59% 31%,39%
Asian,"4,881 6%",1209,589,620,72%,83% 77%,13%
Black/African American,"24,268 32%",956,490,466,20%,53% 21%,46%
Hispanic/Latino,"9,822 13%",1023,520,503,34%,66% 36%,32%
Native Hawaian/Other Pacific Islander,75 0%,1005,509,495,36%,65% 36%,35%
White,"32,468 43%",1123,573,550,57%,86% 58%,13%
Two or More Races,"3,117 4%",1083,554,529,47%,79% 48%,20%
No Response,"1,502 2%",981,499,481,27%,55% 29%,43%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"42,304 55%",1046,537,509,39%,72% 40%,27%
Male,"34,026 45%",1072,540,532,47%,72% 49%,26%
No Response,10 0%,808,399,409,0%,30% 0%,70%
