Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"7,346",1100,550,550,53%,77% 55%,20%
Took Essay1,"5,752 78%",1125,562,563,58%,81% 61%,16%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,3 0%,,,,,,
Asian,"2,638 36%",1134,557,577,62%,80% 66%,16%
Black/African American,74 1%,1020,519,501,31%,72% 31%,28%
Hispanic/Latino,"1,179 16%",1056,535,521,41%,73% 43%,25%
Native Hawaian/Other Pacific Islander,568 8%,982,493,488,28%,54% 30%,44%
White,620 8%,1167,596,571,64%,90% 65%,10%
Two or More Races,"2,065 28%",1104,555,549,53%,80% 55%,18%
No Response,199 3%,1044,524,520,41%,67% 46%,28%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"4,169 57%",1090,550,541,49%,77% 52%,20%
Male,"3,177 43%",1114,551,563,57%,77% 60%,20%
