Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"20,749",993,505,488,32%,58% 34%,40%
Took Essay1,"1,099 5%",1184,600,584,69%,88% 70%,11%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,337 2%,866,438,428,9%,29% 10%,70%
Asian,306 1%,1089,535,554,51%,65% 57%,29%
Black/African American,208 1%,897,457,440,14%,37% 15%,62%
Hispanic/Latino,"3,217 16%",912,465,447,16%,40% 18%,58%
Native Hawaian/Other Pacific Islander,80 0%,924,468,456,18%,48% 20%,50%
White,"12,762 62%",1033,525,508,40%,67% 42%,31%
Two or More Races,548 3%,1024,522,502,37%,66% 39%,32%
No Response,"3,291 16%",927,471,455,19%,44% 21%,53%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"10,371 50%",993,510,483,30%,61% 32%,38%
Male,"10,354 50%",994,500,493,34%,56% 37%,42%
No Response,24 0%,869,437,433,13%,29% 13%,71%
