Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"146,681",1013,509,504,38%,58% 40%,39%
Took Essay1,"142,335 97%",1016,510,506,38%,59% 41%,39%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,"1,158 1%",861,435,426,11%,26% 13%,72%
Asian,"7,799 5%",1181,577,604,68%,80% 72%,16%
Black/African American,"19,227 13%",895,455,440,15%,35% 16%,63%
Hispanic/Latino,"36,363 25%",951,478,473,25%,47% 28%,50%
Native Hawaian/Other Pacific Islander,155 0%,911,461,450,21%,37% 25%,59%
White,"64,297 44%",1088,546,543,53%,74% 55%,24%
Two or More Races,"4,425 3%",1062,535,527,46%,68% 48%,30%
No Response,"13,257 9%",881,447,435,14%,32% 16%,66%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"73,013 50%",1016,515,501,37%,61% 39%,37%
Male,"73,574 50%",1010,503,507,38%,55% 41%,42%
No Response,94 0%,801,407,393,1%,13% 5%,83%
