Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"49,565",1080,543,537,51%,76% 53%,22%
Took Essay1,"26,719 54%",1104,555,549,56%,79% 58%,19%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,202 0%,958,485,473,19%,51% 21%,47%
Asian,"1,672 3%",1178,572,606,67%,78% 72%,16%
Black/African American,"4,395 9%",941,476,465,19%,46% 22%,52%
Hispanic/Latino,"5,475 11%",1009,507,502,35%,62% 37%,36%
Native Hawaian/Other Pacific Islander,40 0%,1027,508,519,38%,60% 43%,35%
White,"34,916 70%",1108,557,551,57%,82% 60%,16%
Two or More Races,"2,155 4%",1060,535,525,44%,73% 47%,24%
No Response,710 1%,1024,518,506,41%,65% 43%,32%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"27,623 56%",1066,541,525,46%,75% 48%,23%
Male,"21,930 44%",1098,546,553,57%,77% 60%,20%
No Response,12 0%,858,429,428,8%,17% 8%,83%
