Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"1,496",1241,618,623,78%,91% 80%,7%
Took Essay1,634 42%,1323,654,669,89%,96% 92%,2%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,3 0%,,,,,,
Asian,293 20%,1313,626,687,84%,88% 92%,4%
Black/African American,81 5%,1033,522,510,38%,72% 42%,25%
Hispanic/Latino,131 9%,1127,566,561,58%,82% 60%,16%
Native Hawaian/Other Pacific Islander,1 0%,,,,,,
White,866 58%,1253,631,622,82%,94% 83%,5%
Two or More Races,79 5%,1253,632,621,84%,92% 84%,8%
No Response,42 3%,1237,604,633,76%,90% 83%,2%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,811 54%,1222,615,607,74%,91% 77%,7%
Male,685 46%,1263,620,642,82%,91% 85%,6%
