Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"2,191",1200,610,591,70%,88% 70%,11%
Took Essay1,813 37%,1285,649,636,84%,95% 85%,4%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,10 0%,1187,593,594,60%,90% 60%,10%
Asian,188 9%,1308,638,670,87%,91% 89%,6%
Black/African American,409 19%,1033,528,506,39%,69% 40%,29%
Hispanic/Latino,205 9%,1170,598,572,65%,84% 67%,14%
Native Hawaian/Other Pacific Islander,3 0%,,,,,,
White,"1,253 57%",1247,635,612,79%,95% 79%,5%
Two or More Races,81 4%,1211,622,588,69%,91% 69%,9%
No Response,42 2%,1068,547,521,43%,74% 45%,24%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"1,246 57%",1175,603,572,65%,88% 65%,12%
Male,945 43%,1233,618,615,76%,88% 77%,10%
