Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"14,210",1013,512,502,36%,61% 38%,37%
Took Essay1,"13,241 93%",1019,515,504,37%,62% 39%,36%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,274 2%,868,437,431,11%,27% 14%,71%
Asian,544 4%,1164,548,617,65%,73% 74%,18%
Black/African American,369 3%,900,455,445,15%,35% 16%,63%
Hispanic/Latino,480 3%,978,497,482,29%,55% 31%,44%
Native Hawaian/Other Pacific Islander,22 0%,873,436,436,9%,32% 14%,64%
White,"10,345 73%",1038,526,512,41%,67% 43%,31%
Two or More Races,455 3%,1024,521,502,36%,66% 36%,33%
No Response,"1,721 12%",876,445,432,12%,31% 14%,66%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"6,878 48%",1017,519,498,35%,64% 36%,35%
Male,"7,324 52%",1011,505,505,37%,58% 40%,39%
No Response,8 0%,,,,,,
