Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"51,094",1058,535,523,45%,67% 47%,31%
Took Essay1,"27,204 53%",1097,555,543,52%,72% 53%,27%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,215 0%,911,461,450,22%,41% 22%,58%
Asian,"4,186 8%",1223,598,625,74%,85% 76%,12%
Black/African American,"15,517 30%",937,479,458,21%,47% 22%,52%
Hispanic/Latino,"6,049 12%",998,507,491,32%,58% 34%,40%
Native Hawaian/Other Pacific Islander,46 0%,975,492,483,30%,50% 30%,50%
White,"20,571 40%",1142,576,566,63%,83% 64%,15%
Two or More Races,"2,732 5%",1087,552,535,49%,76% 50%,23%
No Response,"1,778 3%",931,473,459,22%,41% 23%,58%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"26,602 52%",1056,539,517,43%,69% 44%,30%
Male,"24,434 48%",1060,530,530,47%,65% 49%,33%
No Response,58 0%,822,412,410,12%,26% 14%,72%
