Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"59,671",1120,559,561,58%,77% 60%,20%
Took Essay1,"37,462 63%",1172,585,587,68%,85% 70%,13%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,180 0%,985,493,493,33%,57% 35%,41%
Asian,"5,342 9%",1244,597,647,76%,84% 82%,11%
Black/African American,"4,762 8%",969,485,484,28%,50% 31%,47%
Hispanic/Latino,"8,442 14%",997,499,498,33%,55% 36%,42%
Native Hawaian/Other Pacific Islander,31 0%,1017,504,513,35%,48% 35%,52%
White,"36,647 61%",1158,581,577,67%,87% 68%,12%
Two or More Races,"2,136 4%",1140,571,569,60%,80% 62%,18%
No Response,"2,131 4%",985,494,491,33%,51% 35%,47%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"31,536 53%",1108,559,549,55%,78% 56%,21%
Male,"28,093 47%",1135,561,574,62%,77% 65%,20%
No Response,42 0%,806,397,409,12%,19% 14%,79%
