Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"113,724",1003,507,496,35%,58% 37%,40%
Took Essay1,"109,832 97%",1007,509,498,36%,59% 38%,39%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,"1,676 1%",859,436,423,11%,27% 12%,71%
Asian,"4,529 4%",1159,563,596,61%,72% 67%,22%
Black/African American,"15,180 13%",864,442,422,10%,29% 11%,70%
Hispanic/Latino,"10,497 9%",936,476,460,21%,45% 23%,53%
Native Hawaian/Other Pacific Islander,153 0%,887,453,434,15%,33% 18%,64%
White,"73,174 64%",1040,525,515,42%,67% 45%,31%
Two or More Races,"5,184 5%",1005,511,494,33%,59% 35%,39%
No Response,"3,331 3%",894,455,439,18%,36% 20%,63%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"56,863 50%",1004,512,492,34%,61% 36%,37%
Male,"56,833 50%",1002,501,501,36%,55% 39%,42%
No Response,28 0%,751,394,357,0%,14% 0%,86%
