Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"2,567",1284,636,648,85%,94% 87%,4%
Took Essay1,"1,638 64%",1311,648,663,89%,96% 91%,2%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,4 0%,,,,,,
Asian,554 22%,1321,628,693,88%,91% 94%,3%
Black/African American,112 4%,1134,570,564,55%,81% 59%,15%
Hispanic/Latino,151 6%,1201,603,597,73%,93% 75%,5%
Native Hawaian/Other Pacific Islander,4 0%,,,,,,
White,"1,532 60%",1293,647,646,88%,97% 89%,3%
Two or More Races,143 6%,1300,652,647,86%,95% 86%,5%
No Response,67 3%,1193,590,603,63%,81% 70%,12%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"1,360 53%",1262,632,631,83%,94% 84%,4%
Male,"1,207 47%",1308,641,667,87%,94% 90%,3%
