Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,781,1237,628,608,73%,91% 74%,8%
Took Essay1,246 31%,1285,651,634,80%,94% 81%,4%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,1 0%,,,,,,
Asian,69 9%,1301,631,671,78%,88% 87%,3%
Black/African American,137 18%,1070,556,515,43%,80% 43%,20%
Hispanic/Latino,44 6%,1169,600,569,68%,86% 68%,14%
Native Hawaian/Other Pacific Islander,1 0%,,,,,,
White,464 59%,1288,654,634,83%,95% 84%,4%
Two or More Races,43 6%,1234,630,605,70%,95% 70%,5%
No Response,22 3%,1115,586,529,50%,86% 50%,14%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,430 55%,1208,620,588,66%,90% 67%,9%
Male,351 45%,1272,639,633,81%,93% 83%,6%
