Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"2,644",1236,622,614,77%,91% 78%,8%
Took Essay1,"1,092 41%",1299,649,649,85%,95% 86%,4%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,6 0%,,,,,,
Asian,358 14%,1328,640,688,87%,91% 91%,4%
Black/African American,244 9%,1051,536,516,41%,72% 43%,25%
Hispanic/Latino,159 6%,1190,598,592,72%,86% 74%,12%
Native Hawaian/Other Pacific Islander,4 0%,,,,,,
White,"1,652 62%",1258,637,621,83%,95% 83%,4%
Two or More Races,144 5%,1205,611,594,74%,88% 74%,12%
No Response,77 3%,1093,556,536,43%,71% 45%,26%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"1,409 53%",1212,618,594,74%,91% 75%,8%
Male,"1,234 47%",1264,625,638,81%,91% 83%,7%
No Response,1 0%,,,,,,
