Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,714,1260,628,631,80%,91% 82%,6%
Took Essay1,315 44%,1297,647,650,83%,93% 84%,5%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,1 0%,,,,,,
Asian,126 18%,1319,624,695,87%,91% 93%,2%
Black/African American,53 7%,1108,563,545,55%,75% 55%,25%
Hispanic/Latino,47 7%,1140,575,565,62%,85% 66%,11%
Native Hawaian/Other Pacific Islander,0,,,,,,
White,417 58%,1285,648,637,85%,95% 87%,3%
Two or More Races,51 7%,1213,615,597,73%,90% 75%,8%
No Response,19 3%,1182,592,589,63%,74% 68%,21%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,379 53%,1236,624,612,78%,92% 80%,6%
Male,335 47%,1287,634,653,82%,90% 86%,6%
