Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"4,957",1156,580,576,66%,88% 69%,10%
Took Essay1,"3,217 65%",1183,592,590,71%,90% 73%,8%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,20 0%,1058,534,524,45%,70% 55%,20%
Asian,858 17%,1209,590,619,76%,88% 82%,7%
Black/African American,347 7%,1042,530,513,39%,72% 42%,25%
Hispanic/Latino,"1,217 25%",1101,557,544,54%,82% 56%,16%
Native Hawaian/Other Pacific Islander,46 1%,1063,541,522,43%,76% 48%,20%
White,"1,940 39%",1191,600,591,76%,93% 77%,6%
Two or More Races,450 9%,1160,585,575,66%,93% 68%,6%
No Response,79 2%,1131,572,559,62%,84% 62%,16%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"2,867 58%",1138,577,561,62%,87% 64%,11%
Male,"2,090 42%",1181,585,597,72%,88% 75%,9%
