Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"14,464",1059,533,526,45%,69% 47%,28%
Took Essay1,"10,948 76%",1083,545,539,50%,74% 52%,24%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,138 1%,900,452,448,14%,34% 15%,65%
Asian,630 4%,1207,579,628,68%,79% 76%,14%
Black/African American,238 2%,1017,511,507,37%,58% 39%,40%
Hispanic/Latino,800 6%,1010,510,500,35%,60% 37%,38%
Native Hawaian/Other Pacific Islander,7 0%,,,,,,
White,"9,898 68%",1088,549,539,51%,77% 53%,21%
Two or More Races,448 3%,1082,547,535,47%,75% 49%,23%
No Response,"2,305 16%",917,463,453,17%,41% 19%,57%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"7,153 49%",1062,541,521,44%,73% 46%,26%
Male,"7,303 50%",1056,525,530,46%,66% 49%,31%
No Response,8 0%,,,,,,
