Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"84,602",1090,544,545,52%,72% 54%,26%
Took Essay1,"54,815 65%",1134,566,569,60%,78% 62%,20%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,198 0%,937,467,470,26%,41% 28%,57%
Asian,"9,667 11%",1269,615,654,81%,89% 84%,9%
Black/African American,"10,062 12%",947,479,468,23%,47% 25%,51%
Hispanic/Latino,"21,027 25%",986,496,490,32%,55% 34%,42%
Native Hawaian/Other Pacific Islander,82 0%,996,502,495,35%,56% 37%,43%
White,"37,897 45%",1148,574,573,65%,85% 67%,13%
Two or More Races,"2,779 3%",1122,563,558,56%,79% 58%,19%
No Response,"2,890 3%",965,486,480,31%,46% 33%,52%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"43,972 52%",1080,545,535,49%,73% 51%,26%
Male,"40,569 48%",1101,544,557,55%,71% 58%,26%
No Response,61 0%,794,396,399,5%,10% 10%,85%
