Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"54,462",1100,554,546,53%,77% 55%,21%
Took Essay1,"27,945 51%",1133,571,562,60%,81% 61%,17%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,389 1%,981,494,487,25%,56% 28%,41%
Asian,"2,859 5%",1245,605,640,78%,87% 81%,9%
Black/African American,"11,285 21%",960,485,475,22%,50% 24%,48%
Hispanic/Latino,"6,050 11%",1046,527,519,42%,69% 45%,28%
Native Hawaian/Other Pacific Islander,39 0%,1075,543,533,44%,79% 49%,15%
White,"30,052 55%",1154,583,571,66%,88% 68%,10%
Two or More Races,"2,736 5%",1088,550,537,49%,76% 51%,22%
No Response,"1,052 2%",1033,522,511,38%,63% 40%,35%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"30,251 56%",1089,553,535,50%,77% 51%,21%
Male,"24,202 44%",1114,555,559,58%,76% 61%,21%
No Response,9 0%,,,,,,
