Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,149,1263,627,636,83%,91% 87%,5%
Took Essay1,78 52%,1296,649,648,92%,96% 94%,3%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,0,,,,,,
Asian,10 7%,1335,630,705,80%,80% 100%,0%
Black/African American,6 4%,,,,,,
Hispanic/Latino,6 4%,,,,,,
Native Hawaian/Other Pacific Islander,0,,,,,,
White,115 77%,1277,634,642,86%,94% 89%,3%
Two or More Races,8 5%,,,,,,
No Response,4 3%,,,,,,
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,79 53%,1242,622,620,80%,90% 84%,6%
Male,70 47%,1286,633,653,87%,93% 90%,4%
