Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"22,904",1097,550,548,53%,72% 56%,26%
Took Essay1,"5,709 25%",1253,625,627,80%,92% 82%,6%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,114 0%,884,438,445,11%,28% 14%,69%
Asian,"1,534 7%",1275,614,661,80%,85% 86%,9%
Black/African American,"3,566 16%",912,462,450,17%,38% 19%,60%
Hispanic/Latino,"1,549 7%",1017,514,503,37%,60% 39%,39%
Native Hawaian/Other Pacific Islander,22 0%,912,447,465,14%,41% 18%,55%
White,"14,077 61%",1148,576,572,64%,82% 66%,16%
Two or More Races,"1,086 5%",1086,547,539,50%,72% 52%,26%
No Response,956 4%,928,468,460,22%,39% 24%,59%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"11,860 52%",1091,552,539,51%,73% 53%,25%
Male,"11,041 48%",1104,548,557,56%,70% 59%,27%
No Response,3 0%,,,,,,
