Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"9,272",963,490,472,27%,49% 29%,49%
Took Essay1,"8,002 86%",950,484,466,24%,47% 26%,51%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,436 5%,902,462,439,16%,38% 18%,61%
Asian,431 5%,1115,550,565,54%,69% 58%,26%
Black/African American,"1,417 15%",843,429,413,7%,23% 8%,76%
Hispanic/Latino,"1,873 20%",904,459,444,17%,37% 18%,61%
Native Hawaian/Other Pacific Islander,21 0%,837,425,412,14%,24% 14%,76%
White,"3,648 39%",1039,531,508,40%,67% 41%,32%
Two or More Races,906 10%,1005,513,492,34%,58% 35%,41%
No Response,540 6%,828,423,405,8%,21% 9%,78%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"4,713 51%",965,497,468,26%,52% 27%,47%
Male,"4,544 49%",961,484,476,28%,46% 31%,52%
No Response,15 0%,776,384,392,7%,13% 13%,80%
