Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"18,625",1112,562,550,55%,80% 58%,18%
Took Essay1,"11,607 62%",1144,578,566,61%,83% 63%,15%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,172 1%,993,497,496,34%,58% 38%,38%
Asian,"1,546 8%",1200,583,617,71%,82% 76%,13%
Black/African American,356 2%,970,492,478,27%,53% 28%,46%
Hispanic/Latino,"3,097 17%",1010,510,500,34%,62% 36%,36%
Native Hawaian/Other Pacific Islander,84 0%,942,477,465,21%,50% 23%,49%
White,"11,607 62%",1136,577,560,61%,85% 63%,13%
Two or More Races,"1,279 7%",1131,574,557,60%,84% 61%,14%
No Response,484 3%,1028,522,506,39%,62% 40%,37%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"10,454 56%",1094,559,536,50%,79% 51%,20%
Male,"8,164 44%",1135,566,569,63%,81% 65%,16%
No Response,7 0%,,,,,,
