Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"95,794",1082,545,537,50%,75% 52%,23%
Took Essay1,"45,457 47%",1140,574,566,61%,84% 63%,15%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,287 0%,956,479,477,25%,47% 29%,49%
Asian,"5,603 6%",1202,581,621,71%,81% 77%,14%
Black/African American,"9,820 10%",911,464,447,17%,41% 18%,58%
Hispanic/Latino,"8,967 9%",979,498,481,29%,56% 31%,42%
Native Hawaian/Other Pacific Islander,65 0%,962,484,478,26%,52% 29%,45%
White,"64,724 68%",1119,564,554,58%,84% 60%,15%
Two or More Races,"3,657 4%",1071,543,528,45%,74% 47%,25%
No Response,"2,671 3%",945,479,466,26%,46% 28%,52%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"51,863 54%",1070,545,525,46%,75% 48%,23%
Male,"43,902 46%",1097,546,551,55%,75% 58%,23%
No Response,29 0%,805,409,396,10%,14% 10%,86%
