Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"11,478",995,503,492,34%,56% 36%,42%
Took Essay1,"10,431 91%",1004,507,497,35%,57% 37%,41%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,159 1%,797,406,392,6%,13% 7%,87%
Asian,491 4%,1119,543,576,55%,69% 60%,26%
Black/African American,935 8%,872,442,430,13%,32% 15%,66%
Hispanic/Latino,"2,393 21%",903,457,446,17%,37% 19%,61%
Native Hawaian/Other Pacific Islander,22 0%,865,430,435,5%,23% 9%,73%
White,"6,658 58%",1046,530,516,43%,67% 44%,31%
Two or More Races,534 5%,983,500,483,30%,55% 32%,43%
No Response,286 2%,904,456,448,22%,39% 22%,60%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"5,758 50%",1003,512,492,34%,60% 35%,39%
Male,"5,707 50%",986,494,492,33%,52% 36%,45%
No Response,13 0%,727,368,359,0%,8% 0%,92%
