Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"31,633",1030,526,504,38%,66% 39%,32%
Took Essay1,"23,142 73%",1026,524,502,37%,65% 38%,34%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,184 1%,934,478,455,18%,47% 18%,52%
Asian,897 3%,1155,565,590,64%,79% 69%,16%
Black/African American,"7,223 23%",906,463,443,13%,39% 14%,60%
Hispanic/Latino,"2,592 8%",1004,512,492,32%,63% 34%,36%
Native Hawaian/Other Pacific Islander,44 0%,942,481,461,16%,43% 18%,55%
White,"17,837 56%",1090,557,533,50%,80% 51%,19%
Two or More Races,"1,417 4%",1038,530,507,36%,69% 38%,30%
No Response,"1,439 5%",881,450,431,11%,34% 12%,65%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"17,153 54%",1026,529,497,35%,68% 36%,31%
Male,"14,422 46%",1035,522,513,41%,64% 43%,34%
No Response,58 0%,846,429,417,7%,24% 7%,76%
