Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,266,1268,633,635,82%,94% 82%,6%
Took Essay1,148 56%,1322,662,660,90%,98% 90%,2%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,3 1%,,,,,,
Asian,26 10%,1326,634,692,88%,88% 92%,8%
Black/African American,7 3%,,,,,,
Hispanic/Latino,14 5%,1165,590,575,57%,71% 57%,29%
Native Hawaian/Other Pacific Islander,0,,,,,,
White,196 74%,1272,638,634,84%,97% 84%,3%
Two or More Races,18 7%,1291,651,640,78%,94% 78%,6%
No Response,2 1%,,,,,,
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,155 58%,1247,626,621,79%,94% 80%,6%
Male,111 42%,1297,644,653,85%,95% 85%,5%
