Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"4,374",1220,618,602,74%,91% 75%,8%
Took Essay1,"1,864 43%",1296,653,643,86%,96% 87%,3%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,6 0%,,,,,,
Asian,509 12%,1314,637,677,86%,91% 89%,6%
Black/African American,378 9%,1082,555,528,48%,77% 51%,20%
Hispanic/Latino,299 7%,1158,587,571,64%,88% 65%,11%
Native Hawaian/Other Pacific Islander,1 0%,,,,,,
White,"2,841 65%",1243,633,610,79%,95% 79%,4%
Two or More Races,170 4%,1241,631,611,82%,92% 82%,8%
No Response,170 4%,971,494,477,31%,52% 33%,46%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"2,278 52%",1207,618,589,71%,92% 72%,7%
Male,"2,094 48%",1235,618,617,77%,90% 79%,8%
No Response,2 0%,,,,,,
