Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"236,665",1022,515,507,37%,62% 39%,36%
Took Essay1,"168,959 71%",1036,522,514,40%,64% 42%,34%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,"1,339 1%",911,458,454,19%,39% 21%,59%
Asian,"15,691 7%",1212,591,621,73%,83% 77%,13%
Black/African American,"27,654 12%",936,475,461,20%,46% 21%,52%
Hispanic/Latino,"112,088 47%",961,484,476,25%,51% 27%,47%
Native Hawaian/Other Pacific Islander,353 0%,978,490,488,31%,54% 33%,44%
White,"67,418 28%",1117,565,552,57%,82% 59%,16%
Two or More Races,"6,998 3%",1090,552,538,49%,78% 51%,20%
No Response,"5,124 2%",914,461,453,20%,39% 22%,59%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"125,104 53%",1017,517,500,35%,63% 36%,35%
Male,"111,254 47%",1027,512,515,40%,60% 43%,37%
No Response,307 0%,827,417,410,7%,24% 8%,76%
