Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"1,506",1230,614,615,75%,90% 78%,7%
Took Essay1,890 59%,1251,625,626,79%,93% 81%,5%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,2 0%,,,,,,
Asian,207 14%,1236,578,659,75%,80% 88%,8%
Black/African American,36 2%,1001,509,491,36%,69% 39%,28%
Hispanic/Latino,168 11%,1151,585,566,63%,86% 64%,13%
Native Hawaian/Other Pacific Islander,7 0%,,,,,,
White,936 62%,1260,635,625,81%,95% 82%,4%
Two or More Races,66 4%,1250,630,620,82%,95% 83%,3%
No Response,84 6%,1139,577,562,52%,85% 54%,14%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,792 53%,1204,610,595,72%,90% 74%,7%
Male,714 47%,1257,619,638,79%,91% 82%,7%
