Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"4,373",1106,560,546,54%,79% 56%,18%
Took Essay1,"2,480 57%",1145,580,566,62%,84% 64%,14%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,38 1%,942,483,459,18%,42% 26%,50%
Asian,206 5%,1203,566,638,67%,78% 79%,11%
Black/African American,109 2%,968,486,482,28%,45% 31%,51%
Hispanic/Latino,161 4%,1057,541,516,46%,73% 49%,24%
Native Hawaian/Other Pacific Islander,1 0%,,,,,,
White,"3,546 81%",1113,565,547,56%,82% 58%,16%
Two or More Races,163 4%,1107,567,540,51%,79% 52%,20%
No Response,149 3%,999,510,488,29%,59% 31%,39%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"2,315 53%",1089,558,531,49%,79% 51%,19%
Male,"2,054 47%",1125,562,563,60%,80% 63%,17%
No Response,4 0%,,,,,,
