Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"61,182",1119,567,551,55%,81% 56%,17%
Took Essay1,"25,037 41%",1187,600,586,68%,89% 69%,10%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,131 0%,1012,517,495,31%,70% 32%,28%
Asian,"5,944 10%",1250,610,640,79%,90% 83%,7%
Black/African American,"10,882 18%",972,497,475,23%,56% 25%,42%
Hispanic/Latino,"6,762 11%",1070,543,527,45%,76% 47%,23%
Native Hawaian/Other Pacific Islander,84 0%,1082,546,536,52%,79% 54%,20%
White,"31,995 52%",1159,590,568,64%,90% 65%,9%
Two or More Races,"4,111 7%",1116,569,547,54%,83% 55%,16%
No Response,"1,273 2%",1037,529,509,41%,67% 43%,31%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"32,807 54%",1105,567,538,51%,82% 52%,17%
Male,"28,366 46%",1135,568,566,60%,81% 62%,17%
No Response,9 0%,,,,,,
