Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,"1,969",1283,635,648,84%,92% 87%,5%
Took Essay1,"1,173 60%",1303,644,659,87%,94% 89%,3%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,4 0%,,,,,,
Asian,389 20%,1310,614,696,84%,87% 93%,4%
Black/African American,69 4%,1110,560,550,54%,74% 55%,25%
Hispanic/Latino,137 7%,1153,580,573,65%,85% 66%,14%
Native Hawaian/Other Pacific Islander,1 0%,,,,,,
White,"1,259 64%",1304,655,649,89%,97% 90%,3%
Two or More Races,71 4%,1279,633,646,83%,94% 83%,6%
No Response,39 2%,1162,567,595,62%,74% 67%,21%
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,"1,046 53%",1267,635,632,82%,92% 84%,5%
Male,923 47%,1302,635,667,87%,93% 90%,4%
