Total,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Total,156,1238,623,615,75%,92% 76%,6%
Took Essay1,95 61%,1272,640,631,83%,98% 83%,2%
Race / Ethnicity,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
American Indian/Alaska Native,0,,,,,,
Asian,9 6%,,,,,,
Black/African American,1 1%,,,,,,
Hispanic/Latino,12 8%,1078,546,533,25%,75% 25%,25%
Native Hawaian/Other Pacific Islander,0,,,,,,
White,121 78%,1254,632,621,82%,95% 82%,5%
Two or More Races,10 6%,1195,609,586,60%,100% 60%,0%
No Response,3 2%,,,,,,
Sex,Test Takers,,Mean Score,,,Met Benchmarks,
"",Number Percent,Total,ERW,Math,Both,ERW  Math,None
Female,94 60%,1228,624,603,72%,94% 73%,5%
Male,62 40%,1253,621,632,79%,90% 81%,8%
